,0,1,2,3,4,5,6,7
0,-1.191809,-0.897753,-1.157695,-1.102396,-1.041469,-0.89496,-1.046793,-1.445817
1,-1.118468,-0.891025,-1.213191,-1.095542,-0.869663,-1.03407,-1.106719,-1.347281
2,-1.21935,-1.08253,-1.34819,-1.04702,-0.616624,-1.154351,-1.183351,-1.451035
3,-1.151952,-1.152551,-1.471803,-1.063144,-0.748778,-1.045874,-1.070865,-1.275689
4,-1.017617,-1.133609,-1.323272,-1.04116,-0.759422,-1.102074,-1.153888,-1.349929
5,-1.141992,-1.192935,-1.214509,-1.078119,-0.856629,-1.206796,-1.032308,-1.440093
6,-0.964043,-1.292539,-1.308984,-1.293946,-0.836854,-1.088674,-0.93796,-1.279902
7,-0.845771,-1.119511,-1.303878,-1.118022,-0.89026,-1.105667,-1.111042,-1.270354
8,-1.076514,-0.979806,-1.291169,-1.279493,-0.883826,-0.970993,-1.227931,-1.361874
9,-0.971001,-1.065346,-1.297411,-1.16917,-0.894702,-1.091886,-1.24287,-1.407562
